name,category_key,category,address,addr:street,addr:housenumber,addr:postcode,addr:city,addr:suburb,lat,lon,xbt,btc,onchain,lightning,payment:lightning_contactless,opening_hours,website,phone,survey:date,check_date,osm_type,osm_id,osm_url
A.C.T. Computer TEAM,shop,computer,"Wendenschloßstraße 366, 12557 Berlin",Wendenschloßstraße,366,12557,Berlin,,52.4246474,13.5856438,True,,True,True,no,Mo-Fr 09:00-17:00,https://www.act-computer.de,+49 30 81 85 99 01,,2025-05-23,node,12853222862,https://www.openstreetmap.org/node/12853222862
All the Colors,shop,hairdresser,"Bötzowstraße 28, 10407 Berlin",Bötzowstraße,28,10407,Berlin,,52.531497,13.4341735,True,,True,True,no,Mo-Sa 09:00-19:00,https://www.allthecolorsberlin.de/,+49 30 13897404,,2025-06-07,node,7069855803,https://www.openstreetmap.org/node/7069855803
AndresEDV & Consulting,office,it,"Jugendweg 1, 13629 Berlin",Jugendweg,1,13629,Berlin,,52.537711,13.2647765,True,,True,True,no,,https://www.andresedv.de/,+49 30 89561674,,2024-12-06,node,12400272704,https://www.openstreetmap.org/node/12400272704
Atheist Shoes,shop,shoes,,,,,Berlin,,52.525194,13.402099,True,,True,True,,"Mo 11:00-14:30,15:00-18:30; Tu,We-Fr 11:30-14:30,15:00-19:00; Sa 11:30-18:00; Su, PH off",https://atheist.shoes/,,,2024-12-01,node,4970428921,https://www.openstreetmap.org/node/4970428921
B-touched Yoga by Bianca,leisure,fitness_centre,"Königsbacher Zeile 23, 13465 Berlin",Königsbacher Zeile,23,13465,Berlin,,52.6402199,13.295109,True,,True,False,no,,https://b-touched-yoga.com/,+49 176 38747534,,2023-07-22,node,11061882780,https://www.openstreetmap.org/node/11061882780
Barberium,shop,hairdresser,"Boxhagener Straße 59, 10245 Berlin, Friedrichshain",Boxhagener Straße,59,10245,Berlin,Friedrichshain,52.5064668,13.4693373,True,,True,True,no,"Tu-Fr 10:00-19:00, Sa 10:00-17:00",,+49 3068812626,,2024-04-16,node,2935266552,https://www.openstreetmap.org/node/2935266552
C.Translations UG,office,company,"Rankestraße 26, 10789 Berlin, Charlottenburg",Rankestraße,26,10789,Berlin,Charlottenburg,52.502001,13.3335705,True,,True,True,no,,https://www.cengolio.com/,+49 30 20848835,2022-10-22,,node,3675739247,https://www.openstreetmap.org/node/3675739247
Café Holzmarktperle,amenity,cafe,"Holzmarktstraße 25, 10243 Berlin",Holzmarktstraße,25,10243,Berlin,,52.511438,13.4268672,True,,True,True,no,Su-Th 10:30-18:00; Fr-Sa 10:30-19:00,,,2023-07-06,2025-09-30,node,10313585322,https://www.openstreetmap.org/node/10313585322
Chipi Chipi Bombón,amenity,ice_cream,"Warschauer Straße 12, 10243 Berlin, Friedrichshain",Warschauer Straße,12,10243,Berlin,Friedrichshain,52.5131962,13.4525181,True,,True,True,no,"Mo-Th 13:00-23:00; Fr,Sa 13:00-00:00; Su 13:00-23:00",https://www.chipichipibombon.com,+49 30 240 32 446,,2025-12-17,node,9215009717,https://www.openstreetmap.org/node/9215009717
CI Space,office,coworking,"Bugenhagenstraße 9, 10551 Berlin",Bugenhagenstraße,9,10551,Berlin,,52.5280242,13.3417811,True,,False,True,yes,Mo-Sa 10:00-22:00,https://cispace.isaci.com,+4915222157014,2024-06-05,,node,10698030584,https://www.openstreetmap.org/node/10698030584
Coworking Space Berlin-Friedrichshain Launch/Co,office,coworking,"Rudolfstraße 14, 10245 Berlin, Friedrichshain",Rudolfstraße,14,10245,Berlin,Friedrichshain,52.5036356,13.454467,True,,True,True,no,Mo-Fr 09:00-19:00,,,2022-11-05,,node,2641068367,https://www.openstreetmap.org/node/2641068367
David Tenorio Tattoo,shop,tattoo,"Riemannstraße 3, 10961 Berlin",Riemannstraße,3,10961,Berlin,,52.490285,13.393468,True,,True,True,no,We 16:00-19:00,https://www.davidtenorioart.com/,+49 176 37627423,,2024-10-22,node,12277896916,https://www.openstreetmap.org/node/12277896916
dg.digital,office,advertising_agency,"Berliner Allee 89, 13088 Berlin, Weißensee",Berliner Allee,89,13088,Berlin,Weißensee,52.5497611,13.4568566,True,,True,True,,,https://www.dg.digital,,,2024-01-01,node,3039051050,https://www.openstreetmap.org/node/3039051050
Dirty Jobs,office,engineer,"Weserstraße 12, 10247 Berlin",Weserstraße,12,10247,Berlin,,52.5096218,13.4678152,True,,True,True,no,,,+49 1734507611,2025-01-01,2025-04-17,node,12754079336,https://www.openstreetmap.org/node/12754079336
Disconnect Art Gallery and Record Shop,shop,music,"Finowstraße 25, 10247 Berlin, Friedrichshain",Finowstraße,25,10247,Berlin,Friedrichshain,52.5109844,13.4671354,True,,True,True,no,Th-Sa 14:00-19:00; PH off,https://disconnectberlin.wordpress.com/,+49 175 8703908,,2025-10-11,node,1263799847,https://www.openstreetmap.org/node/1263799847
DoYouSpace,office,architect,"Rigaer Straße 93, 10247 Berlin, Friedrichshain",Rigaer Straße,93,10247,Berlin,Friedrichshain,52.5177555,13.4581799,True,,True,True,no,,https://www.doyouspace.net,+493043021510,2022-11-05,,node,1372898402,https://www.openstreetmap.org/node/1372898402
Drittes Ohr,amenity,pub,"Matternstraße 14, 10249 Berlin, Friedrichshain",Matternstraße,14,10249,Berlin,Friedrichshain,52.5219305,13.4529113,True,,False,True,yes,"Mo-We, Su 17:00-01:00; Th-Sa 18:00-02:00; Dec 25, Jan 1, Easter off",https://www.drittes-ohr.eu/,+49 30 4 27 57 98,2025-10-22,,node,318704396,https://www.openstreetmap.org/node/318704396
Fabelhaft Bar,amenity,bar,"Schönleinstraße 6, 10967 Berlin, Kreuzberg",Schönleinstraße,6,10967,Berlin,Kreuzberg,52.4922712,13.4209764,True,,True,True,no,Tu-Sa 19:00+,http://fabelhaftberlin.de,+49 30 67965572,,2025-10-03,node,3036860727,https://www.openstreetmap.org/node/3036860727
Fotostudio Kreuzberg,craft,photographer,"Manteuffelstraße 77, 10999 Berlin",Manteuffelstraße,77,10999,Berlin,,52.4976631,13.4252092,True,,False,True,no,Mo-Fr 11:00-19:00,https://fotostudio-kreuzberg.de/,+49 30 97893987,,2024-05-24,node,11931158041,https://www.openstreetmap.org/node/11931158041
Friedel Richter,amenity,restaurant,"Torstraße 199, 10115 Berlin, Mitte",Torstraße,199,10115,Berlin,Mitte,52.5281875,13.3914357,True,,False,True,no,Mo-Fr 18:00-23:00,https://friedelrichter.de,+49 30 27582234,,2025-10-10,node,3734954314,https://www.openstreetmap.org/node/3734954314
Horváth,amenity,restaurant,"Paul-Lincke-Ufer 44a, 10999 Berlin, Kreuzberg",Paul-Lincke-Ufer,44a,10999,Berlin,Kreuzberg,52.4963757,13.4208114,True,,False,True,no,We-Su 18:30-21:30,,,2024-06-05,2026-01-24,node,941439093,https://www.openstreetmap.org/node/941439093
ICE Aesthetic - Zentrum Kryolipolyse Berlin,leisure,sports_centre,"Uhlandstraße 20-25, 10623 Berlin, Charlottenburg",Uhlandstraße,20-25,10623,Berlin,Charlottenburg,52.5038258,13.3251553,True,,True,True,no,Mo-Fr 10:00-20:00; Sa 10:00-18:00,https://www.ice-aesthetic.de/,+49 30 68911584,2022-11-05,,node,3037805664,https://www.openstreetmap.org/node/3037805664
Karmen Kraft,shop,art,"Herzbergstraße 55, 10365 Berlin",Herzbergstraße,55,10365,Berlin,,52.5259171,13.4980609,True,,True,True,yes,"""Atelierbesuch nach Vereinbarung / Studio visit by appointment""",https://www.karmenkraft.com/,,2023-11-26,2023-11-26,node,11377463071,https://www.openstreetmap.org/node/11377463071
Keith,amenity,bar,"Schillerpromenade 2, 12049 Berlin, Neukölln",Schillerpromenade,2,12049,Berlin,Neukölln,52.4782382,13.4213181,True,,True,True,no,Mo-Su 18:00-03:00,https://www.keithbarberlin.de/,,2025-10-10,,node,3747274058,https://www.openstreetmap.org/node/3747274058
KOSAE jewellery & design,shop,jewelry,"Fehrbelliner Straße 23, 10119 Berlin",Fehrbelliner Straße,23,10119,Berlin,,52.533571,13.4036851,True,,False,True,no,Mo-Fr 15:00-19:00,,,,2025-07-19,node,10134931577,https://www.openstreetmap.org/node/10134931577
Lahuge,office,yes,"Wotanstraße 7a, 10365 Berlin",Wotanstraße,7a,10365,Berlin,,52.515759,13.4968142,True,,False,False,no,,https://lahuge.com,+49 170 3695257,2022-11-06,,node,10161806420,https://www.openstreetmap.org/node/10161806420
Legacy,shop,paint,"Yorckstraße 53, 10965 Berlin, Schöneberg",Yorckstraße,53,10965,Berlin,Schöneberg,52.4926408,13.3702639,True,,False,True,no,Mo-Sa 12:00-20:00; PH off,,+49 177 4693940,,2025-09-29,node,9911287150,https://www.openstreetmap.org/node/9911287150
Liebener Coaching,office,yes,"Petersburger Straße 3, 10249 Berlin",Petersburger Straße,3,10249,Berlin,,52.525895,13.4489086,True,,True,True,no,,https://www.liebener-coaching.de/,+491772353534,,2023-09-11,node,11183254526,https://www.openstreetmap.org/node/11183254526
Martina Lubanski,office,graphic_design,"Willmanndamm 10, 10827 Berlin",Willmanndamm,10,10827,Berlin,,52.4907057,13.3631375,True,,True,True,,,,,2024-04-28,,node,11861712699,https://www.openstreetmap.org/node/11861712699
Massage Miguel,shop,massage,"Schulzestraße 1, 13187 Berlin",Schulzestraße,1,13187,Berlin,,52.5654187,13.3939563,True,,True,True,yes,Mo-Su 09:00-21:00,https://www.massagemiguel.de/,+49 1577 428 6598,2025-05-20,2025-12-10,node,12850682170,https://www.openstreetmap.org/node/12850682170
Mein Palo Santo,shop,incense,10435 Berlin,,,10435,Berlin,,52.5367859,13.4175276,True,,True,True,yes,Th 12:00-19:00,,,,2024-11-30,node,8145412017,https://www.openstreetmap.org/node/8145412017
Musikschule Kling-Klang,amenity,college,"Randowstraße 20, 13057 Berlin, Neu-Hohenschönhausen",Randowstraße,20,13057,Berlin,Neu-Hohenschönhausen,52.5663684,13.524798,True,,True,True,no,,https://musikschule-kling-klang.de/,,2022-11-05,,node,2537196472,https://www.openstreetmap.org/node/2537196472
nexondo,shop,computer,"Fehrbelliner Straße 29, 10119 Berlin",Fehrbelliner Straße,29,10119,Berlin,,52.5342249,13.4020906,True,,True,True,yes,24/7,https://nexondo.de/,+49 30 44048279,,2022-12-19,node,10272682416,https://www.openstreetmap.org/node/10272682416
Noku Studio,office,architect,"Leipziger Straße 60, 10117 Berlin, Mitte",Leipziger Straße,60,10117,Berlin,Mitte,52.5111776,13.3958388,True,,True,True,no,Mo-Fr 09:00-18:00,,,2022-11-05,,node,8311143284,https://www.openstreetmap.org/node/8311143284
Onkel Philipp's Spielzeugwerkstatt,shop,toys,"Choriner Straße 35, 10435 Berlin",Choriner Straße,35,10435,Berlin,,52.5365158,13.4105527,True,,True,True,,Sa 10:00-18:00,http://onkel-philipp.de,+49304490491,,2023-08-02,node,4294659989,https://www.openstreetmap.org/node/4294659989
Osteopathie und Physiotherapie Bächle,,other,"Am Wäldchen 38A, 13591 Berlin",Am Wäldchen,38A,13591,Berlin,,52.5222546,13.1290912,True,,True,True,no,,https://osteopathie-baechle.com/,+49 30 33 26 338,,2025-12-23,node,13397450343,https://www.openstreetmap.org/node/13397450343
Physiotherapie Alexandros Swoch,,other,"Auguste-Viktoria-Straße 7, 14193 Berlin",Auguste-Viktoria-Straße,7,14193,Berlin,,52.4917336,13.2906484,True,,False,True,yes,Mo-Fr 08:00-20:00,https://fuessiotherapie.de,+49 30 45030592,,2025-01-31,node,10297995578,https://www.openstreetmap.org/node/10297995578
Rml,office,construction_company,"Döbelner Straße 4, 12627 Berlin",Döbelner Straße,4,12627,Berlin,,52.5294096,13.6148571,True,,True,True,no,,https://rml-bau.de/,+49 30 232569400,,2024-11-21,node,12219015529,https://www.openstreetmap.org/node/12219015529
Satoshi Graphics,shop,art,"Altenbraker Straße 12a, 12053 Berlin",Altenbraker Straße,12a,12053,Berlin,,52.4710594,13.4316893,True,,,,,,https://satoshigraphics.com,,2022-09-28,,node,10056802721,https://www.openstreetmap.org/node/10056802721
Schmidt Barg Rechtsanwälte,office,lawyer,"Lietzenburger Straße 102, 10707 Berlin, Charlottenburg",Lietzenburger Straße,102,10707,Berlin,Charlottenburg,52.499767,13.3183245,True,,,,,,https://www.sbkw.de/impressum.html,+49 30 8804810,2022-11-05,,node,2540122308,https://www.openstreetmap.org/node/2540122308
Small-Shops,shop,clothes,"Stargarder Straße 78, 10437 Berlin, Prenzlauer Berg",Stargarder Straße,78,10437,Berlin,Prenzlauer Berg,52.5476523,13.4150886,True,,True,True,no,Tu-Sa 11:00-19:00,https://small-shops.com/,+49 176 6190 9402,,2025-10-28,node,9994348561,https://www.openstreetmap.org/node/9994348561
Steinberg Imkerei,craft,beekeeper,"Rosentreterpromenade 21, 13437 Berlin",Rosentreterpromenade,21,13437,Berlin,,52.5958764,13.316332,True,,,True,,,,,,,node,12170692127,https://www.openstreetmap.org/node/12170692127
Studio Zitrone,craft,pottery,"Kreuzbergstraße 72 HH, 10965 Berlin",Kreuzbergstraße,72 HH,10965,Berlin,,52.4896111,13.3835322,True,,True,True,,,https://bip39cups.com/,,2024-12-28,,node,12459074874,https://www.openstreetmap.org/node/12459074874
Subway,amenity,fast_food,"Am Borsigturm 2, 13507 Berlin",Am Borsigturm,2,13507,Berlin,,52.5847198,13.2860195,True,,False,True,no,,https://restaurants.subway.com/de/deutschland/be/berlin/am-borsigturm-2,+493052665616,2023-05-11,2025-02-18,node,1765786432,https://www.openstreetmap.org/node/1765786432
Tante Tom,shop,massage,"Hermsdorfer Damm 169, 13467 Berlin",Hermsdorfer Damm,169,13467,Berlin,,52.6188846,13.303273,True,,False,True,no,Mo-Su 10:00-19:00,https://www.tante-tom.de/,+49 30 89 61 49 88,,2024-01-01,node,12009761189,https://www.openstreetmap.org/node/12009761189
Vater Bar,amenity,bar,"Weserstraße 202, 12047 Berlin, Neukölln",Weserstraße,202,12047,Berlin,Neukölln,52.4877308,13.4310767,True,,False,True,no,"Tu-Th 19:00-01:00,Fr-Sa 19:00-03:00",,,2023-06-03,2024-09-05,node,7610691602,https://www.openstreetmap.org/node/7610691602
Viale dei Tigli,amenity,restaurant,"Wilhelmstraße 75, 10117 Berlin, Mitte",Wilhelmstraße,75,10117,Berlin,Mitte,52.5148686,13.3811135,True,,True,False,no,Mo-Su 12:00-24:00,http://www.ristorante-viale.de/,,2025-10-01,,node,318526010,https://www.openstreetmap.org/node/318526010
WAHL Rechtsanwälte,office,lawyer,"Berliner Allee 54, 13088 Berlin, Weißensee",Berliner Allee,54,13088,Berlin,Weißensee,52.5486396,13.4534484,True,,True,True,yes,"""Nur nach Vereinbarung""",https://wahl-kanzlei.de,+49 30 9270680,,2023-05-10,node,3039050673,https://www.openstreetmap.org/node/3039050673
Zahnzentrum Ahrensfelde,amenity,dentist,"Märkische Allee 408, 12689 Berlin",Märkische Allee,408,12689,Berlin,,52.5713569,13.5676303,True,,True,True,yes,Mo 09:00-15:00; Tu 09:00-19:00; We 09:00-18:00; Th 09:00-16:00,,,,2025-10-07,node,13192449754,https://www.openstreetmap.org/node/13192449754
Zimt & Pfeffer,shop,spices,,,,,Berlin,,52.512325,13.4176575,True,,False,True,no,"Mo-Fr 10:30-18:30,Sa 11:00-16:30; PH off",https://zimtundpfeffer.com/,+49 30 96594428,,2025-10-08,node,11918209446,https://www.openstreetmap.org/node/11918209446
