Name Lokal bzw. Geschäft,Adresse,"Stand der Dinge (Bitte aktualisieren, wenn sich was geändert hat)","Wie viel mal angesprochen? (Bitte aktualisieren, wenn angesprochen)"
Pizzaria Kleinhaus,"Gladbacher Str. 5, 40219 Düsseldorf",Akzeptiert Bitcoin,Akzeptiert Bitcoin
Café TOMO ,"Klosterstraße 67, 40211 Düsseldorf",Interessiert,3
Metzgerei Ludwig,"Bilker Allee 32, 40219 Düsseldorf",Nur Angesprochen,1
Pizzeria Casanova,"Am Wehrhahn 45, 40211 Düsseldorf",Interessiert,3
Pizzaria Bella Mia,"Kölner Str. 43 a, 40211 Düsseldorf",Interessiert,2
Wehrhahn Shop,"Am Wehrhahn 52, 40211 Düsseldorf",Nur Angesprochen,2
Plätz (Flingern),"Dorotheenstraße 73, 40235 Düsseldorf",Interessiert,2
Friseur Heaven7,"Grafenberger Alle 145, 40235 Düsseldorf ",Interessiert,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1
,,Nicht bewertet,1